path,modified_time
C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_76523213b78d9046\lib\IntelPTTEkRecertification.exe,2021-09-15 01:02:20
C:\Windows\System32\mousocoreworker.exe,2022-11-10 12:40:01
C:\Windows\SysWOW64\IMGSF50Start_x86.exe,2020-12-11 00:00:06
C:\Windows\system32\IMGSF50Start_x64.exe,2020-12-10 23:59:46
C:\Program Files (x86)\INCAInternet\nProtect Online Security\npk\noske64.exe,2021-10-28 06:38:12
C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e9f7884f9b4f82b9\igfxEM.exe,2019-09-17 14:10:14
C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe,2019-11-08 05:44:00
C:\Windows\system32\rundll32.exe,2021-01-16 01:50:27
C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe,2021-04-29 20:30:48
C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e9f7884f9b4f82b9\IntelCpHeciSvc.exe,2019-09-17 14:10:22
C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_0a3294d3216a4a83\jhi_service.exe,2018-11-13 00:46:22
C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe,2021-04-26 15:54:10
C:\Bitnami\WAMPST~1.13-\mariadb\bin\mysqld.exe,2021-11-05 21:15:48
C:\Bitnami\wampstack-8.0.13-0\mariadb\bin\mysqld.exe,2021-11-05 21:15:48
C:\Bitnami\WAMPST~1.13-\apache2\bin\httpd.exe,2021-10-07 16:31:28
C:\Bitnami\wampstack-8.0.13-0\apache2\bin\httpd.exe,2021-10-07 16:31:28
C:\Windows\SysWOW64\vmnat.exe,2021-04-29 20:28:38
C:\Program Files (x86)\VP\VPWalletService\VPWalletService.exe,2020-11-03 00:01:25
C:\Windows\SysWOW64\vmnetdhcp.exe,2021-04-29 20:28:38
C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe,2021-04-29 20:17:10
C:\Program Files\AhnLab\V3Lite40\ASDSvc.exe,2022-08-11 00:40:00
C:\Windows\SysWOW64\TUCTLSystem.exe,2021-10-27 00:23:54
C:\Windows\Teruten\TCube\TCubeServiceMgr64.exe,2021-12-02 07:24:46
C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe,2021-06-30 17:12:52
C:\Program Files (x86)\Tailscale IPN\tailscaled.exe,2022-10-21 19:05:12
C:\Program Files (x86)\TPLSvc\TPLSvc.exe,2016-12-08 01:42:42
C:\Program Files (x86)\INCAInternet\nProtect Online Security\nossvc.exe,2022-10-24 01:15:42
C:\Windows\System32\DriverStore\FileRepository\lms.inf_amd64_fddb643595e0b8d0\LMS.exe,2021-09-01 17:06:42
C:\Program Files (x86)\KollusPlayer3\KollusSvr.exe,2022-08-09 01:17:28
C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_76523213b78d9046\lib\TPMProvisioningService.exe,2021-09-15 01:02:28
C:\Windows\Lenovo\ImController\Service\Lenovo.Modern.ImController.exe,2022-01-28 11:03:46
C:\Program Files (x86)\Hnc\Office 2018\HncUtils\Service\HncUpdateService.exe,2018-04-06 07:58:00
C:\Program Files (x86)\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService.exe,2022-11-14 11:27:24
C:\Program Files\Elantech\ETDService.exe,2017-11-08 12:32:46
C:\Program Files\Dolby\Dolby DAX2\DAX2_API\DolbyDAX2API.exe,2017-07-13 13:32:42
C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe,2022-12-13 01:07:25
C:\Program Files (x86)\iniLINE\CrossEX\crossex\ObCrossEXService.exe,2019-08-07 05:57:14
C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e9f7884f9b4f82b9\IntelCpHDCPSvc.exe,2019-09-17 14:10:20
C:\Program Files (x86)\Google\Chrome Remote Desktop\108.0.5359.16\remoting_host.exe,2022-10-23 12:49:36
C:\Windows\System32\drivers\AdminService.exe,2018-08-01 07:48:54
C:\Program Files (x86)\SoftForum\XecureWeb\AnySign\dll\AnySign4PCLauncher.exe,2019-10-15 01:38:58
C:\Program Files (x86)\ESTsoft\ALUpdate\eausvc.exe,2021-02-24 07:30:44
C:\Windows\system32\sc.exe,2019-12-07 09:09:34
C:\Program Files (x86)\IPinside_LWS\I3GMainSvc.exe,2021-10-07 11:39:34
C:\Windows\System32\spoolsv.exe,2022-12-15 10:30:00
C:\Windows\system32\dashost.exe,2022-08-30 15:53:53
C:\Program Files\Realtek\Audio\HDA\RtkAudioService64.exe,2018-01-17 19:44:54
C:\Windows\system32\ClipRenew.exe,2022-08-30 15:53:30
C:\Windows\system32\dxgiadaptercache.exe,2022-10-14 11:25:56
C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e9f7884f9b4f82b9\igfxCUIService.exe,2019-09-17 14:10:10
C:\Windows\System32\Upfc.exe,2019-12-07 09:08:33
C:\Windows\system32\dwm.exe,2021-01-16 01:50:17
C:\Windows\System32\WUDFHost.exe,2022-08-30 15:54:03
C:\Windows\system32\fontdrvhost.exe,2022-10-14 11:26:07
C:\Windows\system32\lsass.exe,2022-10-14 11:26:07
C:\Windows\system32\services.exe,2021-04-15 03:26:08
0000000b	000a00004a6103ff	000a00004a6103ff	8664	Microsoft.Windows.StartMenuExperienceHost	cw5n1h2txyewy	neutral,
C:\Users\User\AppData\Local\DBeaver\Uninstall.exe,2022-12-13 01:54:10
00000009	000a08a100020000	000a000047ba0000	8664	E046963F.LenovoCompanion	k1h2ywk1493x8	,
C:\Windows\System32\find.exe,2022-08-30 15:54:19
C:\Windows\SysWOW64\cmd.exe,2021-01-16 01:50:44
