name,extension,execute_time,created_time,modified_time
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.35.01\json\ART0060_Bookmarks.json,json,2022-12-13 오전 12:43:22,2022-12-13 오전 12:37:06,2022-12-13 오전 12:37:06
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.35.01\json\Collect_Result_16.json,json,2022-12-13 오전 12:38:05,2022-12-13 오전 12:37:11,2022-12-13 오전 12:37:11
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.49.52\csv\ART0033_Recycle_Bin.csv,csv,2022-12-13 오전 12:52:13,2022-12-13 오전 12:51:43,2022-12-13 오전 12:51:43
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.49.52\csv\Collect_Result_16.xlsx,xlsx,2022-12-13 오전 12:52:52,2022-12-13 오전 12:51:50,2022-12-13 오전 12:51:52
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_01.02.25\csv\ART0054_Network_Interfaces.csv,csv,2022-12-13 오전 1:04:54,2022-12-13 오전 1:04:32,2022-12-13 오전 1:04:33
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_01.09.10\csv\ART0003_E-mail_Attachments.csv,csv,2022-12-13 오전 1:09:49,2022-12-13 오전 1:09:13,2022-12-13 오전 1:09:13
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_01.09.10\csv\Collect_Result_1.xlsx,xlsx,2022-12-13 오전 1:09:58,2022-12-13 오전 1:09:14,2022-12-13 오전 1:09:14
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_12.26.34\json\ART0054_Network_Interfaces.json,json,2022-12-13 오후 12:26:43,2022-12-13 오후 12:26:36,2022-12-13 오후 12:26:36
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_12.39.18\json\ART0001_OpenSavePidlMRU.json,json,2022-12-13 오후 12:41:06,2022-12-13 오후 12:39:46,2022-12-13 오후 12:39:46
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_12.39.18\json\Collect_Result_17.json,json,2022-12-13 오후 12:41:13,2022-12-13 오후 12:41:00,2022-12-13 오후 12:41:00
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_12.39.18\json\E0006_External_Device_USB_Usage.json,json,2022-12-13 오후 12:41:24,2022-12-13 오후 12:40:59,2022-12-13 오후 12:40:59
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_12.55.21\json\Collect_Result_1.json,json,2022-12-13 오후 12:55:35,2022-12-13 오후 12:55:28,2022-12-13 오후 12:55:28
C:\Users\User\Desktop\desktop-242f37a_2022.12.16_20.29.26\json,26\json,2022-12-16 오후 8:32:37,2022-12-16 오후 8:29:26,2022-12-16 오후 8:31:41
C:\Users\User\Desktop\desktop-242f37a_2022.12.16_20.29.26\json\ART0003_E-mail_Attachments.json,json,2022-12-16 오후 8:32:37,2022-12-16 오후 8:30:03,2022-12-16 오후 8:30:03
C:\Users\User\Desktop\Desktop.7z,7z,2022-03-28 오후 12:31:54,N / A,N / A
C:\Users\User\Desktop\DF-ATT&CK_1차발표.pptx,pptx,N / A,N / A,N / A
C:\Users\User\Desktop\DF-ATT&CK_1차발표_v1.1.pptx,pptx,N / A,N / A,N / A
C:\Users\User\Desktop\DF-ATT&CK_1차발표_v1.2.pptx,pptx,N / A,N / A,N / A
C:\Users\User\Desktop\DF_CAT_Forensic_Tool\artifact_parser\ART0001_OpenSavePidlMRU_Parser.py,py,2022-12-13 오전 12:06:45,2022-12-12 오후 11:56:15,2022-12-12 오후 11:49:40
C:\Users\User\Desktop\Dolphago.exe,exe,N / A,N / A,N / A
C:\Users\User\Desktop\dtd\0059.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\dtd\0060.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\dtd\0061.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\dtd\0062.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\dtd\0063.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\dtdt.txt,txt,N / A,N / A,N / A
C:\Users\User\Desktop\dttd.txt,txt,N / A,N / A,N / A
C:\Users\User\Desktop\Easy_Artifact.ad1,ad1,N / A,N / A,N / A
C:\Users\User\Desktop\Easy_CrackMe.exe,exe,N / A,N / A,N / A
C:\Users\User\Desktop\favicon.ico,ico,2022-12-13 오후 12:43:23,2022-11-16 오전 1:59:01,2022-11-16 오전 1:59:02
C:\Users\User\Desktop\favicon.ico,ico,N / A,2022-11-16 오전 1:59:01,2022-11-16 오전 1:59:02
C:\Users\User\Desktop\favicon.ico,ico,2022-12-13 오전 10:16:23,2022-11-16 오전 1:59:01,2022-11-16 오전 1:59:02
