name,url,browser,start_time,end_time,size,path
shman-x64.zip,https://www.nirsoft.net/utils/shman-x64.zip,Chrome,2022-11-24 오후 7:29:24,2022-11-24 오후 7:29:25,"53,003",C:\Users\User\Downloads\shman-x64.zip
winprefetchview.zip,https://www.nirsoft.net/utils/winprefetchview.zip,Chrome,2022-11-18 오전 1:07:55,2022-11-18 오전 1:07:56,"54,278",C:\Users\User\Downloads\winprefetchview.zip
winprefetchview-x64.zip,https://www.nirsoft.net/utils/winprefetchview-x64.zip,Chrome,2022-11-17 오후 9:32:26,2022-11-17 오후 9:32:27,"68,640",C:\Users\User\Downloads\winprefetchview-x64.zip
img7.jpg,https://api53.ilovepdf.com/v1/download/bw94815fmtx2s28mpwjfkxyhptvtll62hn0bjctxjkqmcx05h92mxvm6qg34xfnh62hwnvhrxyk2A7w7xc5ls3jps37pqhhx17qxj35lc8s0fn8c53nkq15zgq36z7cg40fhqfzbddAdgp6g5dkpvnwttmyvnhpbnlt0l77q6t4cvtyxxxm1,Chrome,2022-11-17 오후 8:31:50,2022-11-17 오후 8:31:51,"401,970",C:\Users\User\Downloads\img7.jpg
(붙임1) (SW중심대학사업단) 2022 SCH AI·SW Festival_학과별 수상자 명단.xlsx,https://home.sch.ac.kr/_custom/sch/_common/board/download.jsp?attach_no=20221117194635398005,Chrome,2022-11-17 오후 8:28:40,2022-11-17 오후 8:28:41,"16,479",C:\Users\User\Downloads\(붙임1) (SW중심대학사업단) 2022 SCH AI·SW Festival_학과별 수상자 명단.xlsx
(붙임2) 상금 지급 서류_서식.hwp,https://home.sch.ac.kr/_custom/sch/_common/board/download.jsp?attach_no=20221117194635401083,Chrome,2022-11-17 오후 8:28:27,2022-11-17 오후 8:28:28,"1,671,168",C:\Users\User\Downloads\(붙임2) 상금 지급 서류_서식.hwp
winprefetchview-x64.zip,https://www.nirsoft.net/utils/winprefetchview-x64.zip,Chrome,2022-11-16 오전 2:39:31,2022-11-16 오전 2:39:32,"68,640",C:\Users\User\Downloads\winprefetchview-x64.zip
Xftp-7.0.0111p.exe,https://cdn.netsarang.net/81fa5d14/Xftp-7.0.0111p.exe,Chrome,2022-11-14 오후 10:45:35,2022-11-14 오후 10:45:46,"40,466,120",C:\Users\User\Downloads\Xftp-7.0.0111p.exe
Case_Crawler-main.zip,https://github.com/LeeIkGyu/Case_Crawler/archive/refs/heads/main.zip,Chrome,2022-11-14 오후 10:44:28,2022-11-14 오후 10:44:29,"6,721",C:\Users\User\Downloads\Case_Crawler-main.zip
Xshell-7.0.0113p.exe,https://cdn.netsarang.net/81fa5d14/Xshell-7.0.0113p.exe,Chrome,2022-11-14 오후 8:26:39,2022-11-14 오후 8:26:47,"47,191,856",C:\Users\User\Downloads\Xshell-7.0.0113p.exe
