name,path,action_time
sdxhelper.exe,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe,2022-12-17 오후 1:25:14
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:25:10
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:25:07
OP.GG.EXE,C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.EXE,2022-12-17 오후 1:24:58
Discord.exe,C:\Users\User\AppData\Local\Discord\APP-1.0.9008\Discord.exe,2022-12-17 오후 1:24:56
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:24:39
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:24:27
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:24:26
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:24:26
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:24:26
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:24:25
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:24:22
NvProfileUpdater64.exe,C:\Program Files\NVIDIA Corporation\Update Core\NvProfileUpdater64.exe,2022-12-17 오후 1:24:22
nvcontainer.exe,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,2022-12-17 오후 1:24:22
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:24:11
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:24:06
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:24:05
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:24:05
FILECOAUTH.EXE,C:\PROGRAM FILES\MICROSOFT ONEDRIVE\22.238.1114.0002\FILECOAUTH.EXE,2022-12-17 오후 1:24:05
USEROOBEBROKER.EXE,C:\WINDOWS\SYSTEM32\OOBE\USEROOBEBROKER.EXE,2022-12-17 오후 1:24:05
APPLICATIONFRAMEHOST.EXE,C:\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE,2022-12-17 오후 1:24:05
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:24:02
MICROSOFTEDGEUPDATE.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE,2022-12-17 오후 1:23:52
msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,2022-12-17 오후 1:23:51
MICROSOFTEDGE_X64_108.0.1462.54_108.0.1462.46.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\Download\{56EB18F8-B008-4CBD-B6D2-8C97FE7E9062}\108.0.1462.54\MICROSOFTEDGE_X64_108.0.1462.54_108.0.1462.46.EXE,2022-12-17 오후 1:23:36
ipconfig.exe,C:\Windows\System32\ipconfig.exe,2022-12-17 오후 1:23:29
netsh.exe,C:\Windows\System32\netsh.exe,2022-12-17 오후 1:23:29
netsh.exe,C:\Windows\System32\netsh.exe,2022-12-17 오후 1:23:28
REPORTXSVC.EXE,C:\PROGRAMDATA\DAMON\REPORTX\REPORTXSVC.EXE,2022-12-17 오후 1:23:26
Teams.exe,C:\PROGRAM FILES (X86)\TEAMS INSTALLER\Teams.exe,2022-12-17 오후 1:23:26
WiFiCloudStore.dll,C:\Windows\System32\WiFiCloudStore.dll,2022-12-17 오후 1:23:26
JandiApp.exe,C:\Users\User\AppData\Local\JandiApp\APP-1.5.6\JandiApp.exe,2022-12-17 오후 1:23:24
v3lite4.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\v3lite4.exe,2022-12-17 오후 1:23:23
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:23:23
HNCUPDATETRAY.EXE,C:\PROGRAM FILES (X86)\Hnc\OFFICE 2018\HncUtils\Service\HNCUPDATETRAY.EXE,2022-12-17 오후 1:23:22
sc.exe,C:\Windows\System32\sc.exe,2022-12-17 오후 1:23:22
sc.exe,C:\Windows\system32\sc.exe,2022-12-17 오후 1:23:22
"sc.exe""","""C:\Windows\system32\sc.exe""",2022-12-17 오후 1:23:22
CONHOST.EXE,C:\WINDOWS\SYSTEM32\CONHOST.EXE,2022-12-17 오후 1:23:21
JandiApp.exe,C:\Users\User\AppData\Local\JandiApp\APP-1.5.6\JandiApp.exe,2022-12-17 오후 1:23:21
reg.exe,C:\Windows\System32\reg.exe,2022-12-17 오후 1:23:20
WIN32BRIDGE.SERVER.EXE,C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.549981C3F5F10_4.2204.13303.0_X64__8WEKYB3D8BBWE\WIN32BRIDGE.SERVER.EXE,2022-12-17 오후 1:23:20
JandiApp.exe,C:\Users\User\AppData\Local\JandiApp\APP-1.5.6\JandiApp.exe,2022-12-17 오후 1:23:19
BACKGROUNDTASKHOST.EXE,C:\Windows\System32\BACKGROUNDTASKHOST.EXE,2022-12-17 오후 1:23:19
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:23:18
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:23:18
Update.exe,C:\Users\User\AppData\Local\JandiApp\Update.exe,2022-12-17 오후 1:23:18
UNSECAPP.EXE,C:\WINDOWS\SYSTEM32\WBEM\UNSECAPP.EXE,2022-12-17 오후 1:23:18
PScan.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\PScan.exe,2022-12-17 오후 1:23:17
ASDCli.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\ASDCli.exe,2022-12-17 오후 1:23:16
ASDCli.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\ASDCli.exe,2022-12-17 오후 1:23:16
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:23:11
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:23:09
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:23:08
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:23:08
COMPPKGSRV.EXE,C:\WINDOWS\SYSTEM32\COMPPKGSRV.EXE,2022-12-17 오후 1:23:07
DKDOCKHOST.EXE,C:\Users\User\AppData\Roaming\DESKTOPCAL\DKDOCKHOST.EXE,2022-12-17 오후 1:23:07
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:23:07
OP.GG.EXE,C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.EXE,2022-12-17 오후 1:23:07
OP.GG.EXE,C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.EXE,2022-12-17 오후 1:23:07
OP.GG.EXE,C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.EXE,2022-12-17 오후 1:23:07
dkupdate.exe,C:\Users\User\AppData\Roaming\DESKTOPCAL\dkupdate.exe,2022-12-17 오후 1:23:07
